id,name,imageUrl,organizationId,createdAt,updatedAt
cm2gqqs7b0001hkit0ubpyw5p,Erik Ten Hag,https://api.sofascore.app/api/v1/manager/53013/image,cm2gq1mke0000v19mzln58lmj,2024-10-19 22:39:13.222,2024-10-19 22:39:13.222
cm2gqrv6m0003hkite3geizq0,Rasmus Højlund,https://api.sofascore.app/api/v1/player/1086417/image,cm2gq1mke0000v19mzln58lmj,2024-10-19 22:40:03.742,2024-10-19 22:40:03.742
cm2gqs7kl0005hkitjb9ij7bz,Bruno Fernandes,https://api.sofascore.app/api/v1/player/288205/image,cm2gq1mke0000v19mzln58lmj,2024-10-19 22:40:19.797,2024-10-19 22:40:19.797
cm2gqt1h0000bhkit775lvae5,Marcus Rashford,https://api.sofascore.app/api/v1/player/814590/image,cm2gq1mke0000v19mzln58lmj,2024-10-19 22:40:58.548,2024-10-19 22:40:58.548
cm2gqtf4j000dhkitefli9z7q,Alejandro Garnacho,https://api.sofascore.app/api/v1/player/1135873/image,cm2gq1mke0000v19mzln58lmj,2024-10-19 22:41:16.243,2024-10-19 22:41:16.243
cm2gqwbqo000fhkiteaicbjrm,Casemiro,https://api.sofascore.app/api/v1/player/122951/image,cm2gq1mke0000v19mzln58lmj,2024-10-19 22:43:31.824,2024-10-19 22:43:31.824
cm2gqwmzr000hhkitnwnv84oj,Joshua Zirkzee,https://api.sofascore.app/api/v1/player/917007/image,cm2gq1mke0000v19mzln58lmj,2024-10-19 22:43:46.407,2024-10-19 22:43:46.407
cm2gqx4mj000jhkitnib7acv5,Christian Eriksen,https://api.sofascore.app/api/v1/player/105734/image,cm2gq1mke0000v19mzln58lmj,2024-10-19 22:44:09.258,2024-10-19 22:44:09.258
cm2gqxf2q000lhkitoewa0zn5,Amad Diallo,https://api.sofascore.app/api/v1/player/971037/image,cm2gq1mke0000v19mzln58lmj,2024-10-19 22:44:22.802,2024-10-19 22:44:22.802
cm2gqxvll000nhkitayh91617,Lisandro Martinez,https://api.sofascore.app/api/v1/player/859999/image,cm2gq1mke0000v19mzln58lmj,2024-10-19 22:44:44.217,2024-10-19 22:44:44.217
cm2gqychw000phkitco16qa47,Matthijs de Ligt,https://api.sofascore.app/api/v1/player/803031/image,cm2gq1mke0000v19mzln58lmj,2024-10-19 22:45:06.116,2024-10-19 22:45:06.116
cm2gqyxxe000rhkitjhof29zx,Noussair Mazraoui,https://api.sofascore.app/api/v1/player/847030/image,cm2gq1mke0000v19mzln58lmj,2024-10-19 22:45:33.89,2024-10-19 22:45:33.89
cm2gqz8as000thkit55ru4odh,Harry Maguire,https://api.sofascore.app/api/v1/player/149380/image,cm2gq1mke0000v19mzln58lmj,2024-10-19 22:45:47.333,2024-10-19 22:45:47.333
cm2gqziji000vhkitxt8c4v2q,Diogo Dalot,https://api.sofascore.app/api/v1/player/843200/image,cm2gq1mke0000v19mzln58lmj,2024-10-19 22:46:00.606,2024-10-19 22:46:00.606
cm2gqzt4j000xhkith5eqwxde,Luke Shaw,https://api.sofascore.app/api/v1/player/190839/image,cm2gq1mke0000v19mzln58lmj,2024-10-19 22:46:14.323,2024-10-19 22:46:14.323
cm2gr041n000zhkit9akq8jio,Leny Yoro,https://api.sofascore.app/api/v1/player/1153315/image,cm2gq1mke0000v19mzln58lmj,2024-10-19 22:46:28.475,2024-10-19 22:46:28.475
cm2gr0irl0011hkit1j5zuocc,Victor Lindelöf,https://api.sofascore.app/api/v1/player/143334/image,cm2gq1mke0000v19mzln58lmj,2024-10-19 22:46:47.553,2024-10-19 22:46:47.553
cm2gr0stb0013hkitbnwqby4w,Tyrell Malacia,https://api.sofascore.app/api/v1/player/825839/image,cm2gq1mke0000v19mzln58lmj,2024-10-19 22:47:00.576,2024-10-19 22:47:00.576
cm2gr16700015hkit6ja8yszs,Jonny Evans,https://api.sofascore.app/api/v1/player/30144/image,cm2gq1mke0000v19mzln58lmj,2024-10-19 22:47:17.915,2024-10-19 22:47:17.915
cm2gr1j2t0017hkitg6y716b8,André Onana,https://api.sofascore.app/api/v1/player/787498/image,cm2gq1mke0000v19mzln58lmj,2024-10-19 22:47:34.612,2024-10-19 22:47:34.612
